Accession;Description;Master;Abundance: F1: 128N, Sample, Alagille Syndrome;Abundance: F1: 130C, Sample, Alagille Syndrome;Abundance: F2: 130N, Sample, Alagille Syndrome;Abundance: F3: 127N, Sample, Alagille Syndrome;Abundance: F3: 129C, Sample, Alagille Syndrome;Abundance: F4: 126, Sample, Alagille Syndrome;Abundance: F4: 129N, Sample, Alagille Syndrome;Abundance: F1: 127C, Sample, Biliary Atresia;Abundance: F1: 130N, Sample, Biliary Atresia;Abundance: F2: 127N, Sample, Biliary Atresia;Abundance: F2: 129C, Sample, Biliary Atresia;Abundance: F3: 129N, Sample, Biliary Atresia;Abundance: F4: 128C, Sample, Biliary Atresia;Abundance: F4: 131N, Sample, Biliary Atresia;Abundance: F1: 126, Sample, Control;Abundance: F1: 129N, Sample, Control;Abundance: F2: 128C, Sample, Control;Abundance: F2: 131N, Sample, Control;Abundance: F3: 128N, Sample, Control;Abundance: F3: 130C, Sample, Control;Abundance: F4: 130N, Sample, Control;Abundance: F1: 131N, Sample, DAAT;Abundance: F2: 128N, Sample, DAAT;Abundance: F2: 130C, Sample, DAAT;Abundance: F3: 127C, Sample, DAAT;Abundance: F3: 130N, Sample, DAAT;Abundance: F4: 127N, Sample, DAAT;Abundance: F4: 129C, Sample, DAAT;Abundance: F1: 131C, Control, IS;Abundance: F2: 131C, Control, IS;Abundance: F3: 131C, Control, IS;Abundance: F4: 131C, Control, IS;Abundance: F1: 127N, Sample, PFIC;Abundance: F1: 128C, Sample, PFIC;Abundance: F1: 129C, Sample, PFIC;Abundance: F2: 126, Sample, PFIC;Abundance: F2: 127C, Sample, PFIC;Abundance: F2: 129N, Sample, PFIC;Abundance: F3: 126, Sample, PFIC;Abundance: F3: 128C, Sample, PFIC;Abundance: F3: 131N, Sample, PFIC;Abundance: F4: 127C, Sample, PFIC;Abundance: F4: 128N, Sample, PFIC;Abundance: F4: 130C, Sample, PFIC
P31327;Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens OX=9606 GN=CPS1 PE=1 SV=2;Master Protein;160240,6;164584,2;89517,7;84697,4;127707,9;73732,5;132165,8;169741,3;105243,1;122768,3;173775,5;148869,3;228396,4;139979,5;181280,8;158702,8;200625;156508,7;198608,7;177732,1;189247;31729,1;106430,8;44930,1;184320,1;172252,1;160204;97465,5;141791,1;121640,3;132080,8;140908,5;145319,3;137331,2;96023,8;139765,6;151581,4;114903,2;125097,7;158884,5;167287;145051;124133,2;104742,8
P02768;Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2;Master Protein;47159,1;46095,7;102613,9;182674,4;127756,5;229686;44743,4;40534,4;60730,8;78217,9;65760,9;60622,6;97733,5;55634,6;25495,8;25089,7;31935,6;51412;26856,2;24706,8;33965,7;105413,8;61590,9;112085,4;36173,6;74691;46687,1;84970,9;79073,4;65656,5;67006,1;61897,8;59207,4;74048,8;156127,1;40464,7;41007;51357,5;145859,9;89902,7;51701,8;70939,9;154785,2;73289,6
Q09666;Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2;Master Protein;87879,8;76881,5;77068;77986,2;79131,8;102019,9;74187;57623,1;66787,8;95160,5;81730,3;68888,6;67313,5;74393,7;55687,6;57295,8;66167,4;71067,5;59925;61553,8;76017,6;48206,6;113274;62452;62364,9;62168,8;70546;100997,1;82386;71509,5;74217,4;74926,2;84846,5;90443,5;80433,3;85818;77041,9;75579,8;115965,8;94187;127462,9;89279,3;111199,6;97434,5
P60709;Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1;Master Protein;62169,3;58966,5;47752,8;53979;57552,5;59933,9;51436,9;45530,8;44912,6;66075,7;55890,1;62111,8;66099,8;51226,4;42718,3;45938,6;47057,3;45337,9;47027,6;49290,2;46903;16674,8;47821,8;30845,7;45995,2;43391,8;46835,3;66179,7;53973,6;46513,1;51566,3;50251,3;55818,2;62413,7;44623;47168,2;48827,6;52209,2;68999,8;65060,9;88768,1;62806;78787,4;64254,8
P63261;Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1;Master Protein;609,8;487,3;207,6;256,7;293,2;368,7;371,2;442,9;355;264,4;251,5;283;410,9;381,5;505,2;444,2;225,5;242,6;305,6;252,3;388,4;133,3;207,6;146,6;226,4;215,5;319,4;340,8;392,6;187,6;194,9;271;507;534,9;416,2;180,9;191,5;257,4;295,2;356,3;397,1;418,3;512;420,3
P00325;All-trans-retinol dehydrogenase [NAD(+)] ADH1B OS=Homo sapiens OX=9606 GN=ADH1B PE=1 SV=2;Master Protein;70426,7;69908,5;50087,1;30979,8;54248,9;26701,9;58791,4;54425,3;34610,4;40460,8;56333;26517,9;22509,5;59058,3;96415,8;84183,2;91852,9;103210,1;91664,3;92110,7;109863,5;15754,1;32706,8;23566,9;51165,6;45241,4;33819,2;26565,4;54366,8;43469;46890,5;48843,1;46268,7;57802;40598,9;45965,6;51921,6;65202,4;34185,1;32886,1;56289,2;52648,6;26430,1;38788,2
P35579;Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4;Master Protein;100229,4;88462,2;73278,6;73380,4;75340,8;76355,3;63535;65415,3;70364,7;108401;85190;81229,7;88572,6;65321,6;56675,3;59237,1;65851,8;60873,9;60968;63191,6;61729,6;33662,9;81645,8;51626,4;61891,9;54724,6;66279,8;99557;79834,3;70783,9;70476,3;68878;90227;88774,6;78368,6;68958,5;74244,6;77117;107079,5;96847,7;124574,6;95056,6;101965;91290,3
Q15149;Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3;Master Protein;82979,4;67291,3;63406,6;52599;64664,6;68188,7;63055,8;65142,6;65736,7;83868,4;77875,7;69117,4;90427,1;64056,6;54744,2;61778,9;63210;61027,9;56427,8;56140,8;73721,8;25697,5;62402,3;39132,9;57036,6;53454,1;68067,6;83347,1;71529,5;62277,3;60073,5;67197,8;76385;79849,9;67211,9;65178,1;70764,7;68088,5;77563,4;75333;79036,6;78760,8;82005,6;80885,9
P04114;Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=2;Master Protein;80054,2;68888,1;97893,6;69344,6;125998,3;72430,9;58917,2;64924,1;87564,2;62445,6;55301,1;52090,2;58386,5;49310,7;41578,7;61051,1;43303;51001;52099,8;35080,8;38574,8;35948,6;43096,1;40816,5;44494,3;50656,1;41021,2;42783,4;69807,5;50556,1;56352,3;50486,2;68377,7;76375,5;92925,4;57296,9;49902,9;48852,5;68061,3;74622,4;60343,9;68977,5;59276,8;69365,5
P12111;Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5;Master Protein;44879,4;48281,3;53556,8;60763,4;51537,6;82221,7;42869,4;27114,2;64095,7;52193,4;33970,5;45460,8;52461,3;39702,8;34497,5;39571,6;40582,8;40508,2;40902;40253,6;43265,7;25290,3;77697,4;41886,3;32795,3;29309,5;34122,2;53869;52298,9;41524,9;44017;41679,2;62250;55815,9;63963,4;35480,5;31657;47484,5;81808,5;61844;72164,7;46199,8;90425,6;59910,9
